backend,mode,repeat,warmup,tick,frames,wall_ms
wan,typed,3,False,21,12,583.2908442243934
wan,typed,3,False,22,12,582.9818830825388
wan,typed,3,False,23,12,605.530294124037
wan,typed,3,False,24,12,585.5928990058601
wan,typed,3,False,25,12,607.9823351465166
wan,typed,3,False,26,12,590.0086858309805
wan,typed,3,False,27,12,586.3719112239778
wan,typed,3,False,28,12,585.8374959789217
wan,typed,3,False,29,12,601.8370250239968
wan,typed,3,False,30,12,592.835552059114
wan,typed,3,False,31,12,590.0840871036053
wan,typed,3,False,32,12,586.3470979966223
wan,typed,3,False,33,12,591.027962975204
wan,typed,3,False,34,12,605.5060378275812
wan,stepwise,0,True,0,9,1852.1775319240987
wan,stepwise,0,True,1,12,596.4531502686441
wan,stepwise,0,True,2,12,592.3582720570266
wan,stepwise,0,True,3,12,604.9804035574198
wan,stepwise,0,True,4,12,605.0718631595373
wan,stepwise,0,True,5,12,611.1117429099977
wan,stepwise,0,True,6,12,591.6228983551264
wan,stepwise,0,True,7,12,618.2212149724364
wan,stepwise,0,True,8,12,604.702876880765
wan,stepwise,0,True,9,12,588.105090893805
wan,stepwise,0,True,10,12,598.4088308177888
wan,stepwise,0,True,11,12,617.6685090176761
wan,stepwise,0,True,12,12,596.3766262866557
wan,stepwise,0,True,13,12,610.7011828571558
wan,stepwise,0,True,14,12,601.2730072252452
wan,stepwise,0,True,15,12,597.0481438562274
wan,stepwise,0,True,16,12,607.8059021383524
wan,stepwise,0,True,17,12,603.3260668627918
wan,stepwise,0,True,18,12,610.0790500640869
wan,stepwise,0,True,19,12,606.5198830328882
wan,stepwise,0,True,20,12,601.5174146741629
wan,stepwise,0,True,21,12,599.1141102276742
wan,stepwise,0,True,22,12,590.2612451463938
wan,stepwise,0,True,23,12,591.1523806862533
wan,stepwise,0,True,24,12,595.1087470166385
wan,stepwise,0,True,25,12,605.6835283525288
wan,stepwise,0,True,26,12,597.4037325941026
wan,stepwise,0,True,27,12,589.3112663179636
wan,stepwise,0,True,28,12,614.419390913099
wan,stepwise,0,True,29,12,595.3266159631312
wan,stepwise,0,True,30,12,592.6539469510317
wan,stepwise,0,True,31,12,592.6841450855136
wan,stepwise,0,True,32,12,597.4110518582165
wan,stepwise,0,True,33,12,616.5631972253323
wan,stepwise,0,True,34,12,597.8735568933189
wan,stepwise,1,False,0,9,595.8688263781369
wan,stepwise,1,False,1,12,596.2868807837367
wan,stepwise,1,False,2,12,588.1104599684477
wan,stepwise,1,False,3,12,589.9799480102956
wan,stepwise,1,False,4,12,594.3188699893653
wan,stepwise,1,False,5,12,591.4746052585542
wan,stepwise,1,False,6,12,602.3292508907616
wan,stepwise,1,False,7,12,591.2581318989396
wan,stepwise,1,False,8,12,594.5259360596538
wan,stepwise,1,False,9,12,586.7890869267285
wan,stepwise,1,False,10,12,595.3731210902333
wan,stepwise,1,False,11,12,594.298455864191
wan,stepwise,1,False,12,12,590.9182261675596
wan,stepwise,1,False,13,12,588.6066248640418
wan,stepwise,1,False,14,12,583.0322518013418
wan,stepwise,1,False,15,12,595.1278391294181
wan,stepwise,1,False,16,12,591.7614442296326
wan,stepwise,1,False,17,12,582.8809277154505
wan,stepwise,1,False,18,12,591.7892791330814
wan,stepwise,1,False,19,12,587.349905166775
wan,stepwise,1,False,20,12,595.1535389758646
wan,stepwise,1,False,21,12,603.8134950213134
wan,stepwise,1,False,22,12,589.2789959907532
wan,stepwise,1,False,23,12,590.2795917354524
wan,stepwise,1,False,24,12,594.5611000061035
wan,stepwise,1,False,25,12,600.3080089576542
wan,stepwise,1,False,26,12,596.0148251615465
wan,stepwise,1,False,27,12,595.3864050097764
wan,stepwise,1,False,28,12,596.2508320808411
wan,stepwise,1,False,29,12,591.4775710552931
wan,stepwise,1,False,30,12,593.7714157626033
wan,stepwise,1,False,31,12,627.0784600637853
wan,stepwise,1,False,32,12,587.7203061245382
wan,stepwise,1,False,33,12,583.5076398216188
wan,stepwise,1,False,34,12,588.3392780087888
wan,stepwise,2,False,0,9,603.9418997243047
wan,stepwise,2,False,1,12,594.6022570133209
wan,stepwise,2,False,2,12,595.9523869678378
wan,stepwise,2,False,3,12,583.7699011899531
